movie_id,revnue_id,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend
M197,R197,"$51,024,708 ","$108,462,855 ","$159,487,563 ","$24,632,284 "
M198,R198,"$53,548,586 ","$44,080,131 ","$97,628,717 ","$16,011,689 "
M199,R199,"$5,775,076 ","$25,349,291 ","$31,124,367 ","$2,469,341 "
M200,R200,"$109,767,581 ","$63,800,000 ","$173,567,581 ","$29,632,823 "
M201,R201,"$123,087,120 ","$210,683,917 ","$333,771,037 ","$39,155,217 "
M202,R202,"$4,073,448 ","$5,190,492 ","$9,263,940 ","$93,728 "
M203,R203,"$663,247 ","$1,948,503 ","$2,611,750 ","$71,203 "
M204,R204,"$61,433,527 ","$61,170,297 ","$122,603,824 ","$20,223,544 "
M205,R205,"$35,418,723 ","$16,382,035 ","$51,800,758 ","$13,423,255 "
M206,R206,"$36,249,674 ","$32,060,466 ","$68,310,140 ","$14,846,778 "
M207,R207,"$22,245,070 ","$46,026,076 ","$68,271,146 ","$158,845 "
M208,R208,"$12,711,491 ","$29,774,149 ","$42,485,640 ","$253,510 "
M209,R209,"$281,723,902 ","$367,262,885 ","$648,986,787 ","$102,665,981 "
M210,R210,"$8,874,389 ","$1,181,092 ","$10,055,481 ","$304,933 "
M211,R211,"$17,356,894 ","$13,493,772 ","$30,850,666 ","$6,541,205 "
M212,R212,"$117,450,119 ","$245,941,528 ","$363,391,647 ","$53,807,379 "
M213,R213,"$10,021,175 ","$32,299,328 ","$42,320,503 ","$61,566 "
M214,R214,"$27,020,284 ","$10,316,590 ","$37,336,874 ","$8,567,881 "
M215,R215,"$87,242,834 ","$208,744,042 ","$295,986,876 ","$28,871,140 "
M216,R216,"$72,679,278 ","$110,674,153 ","$183,353,431 ","$21,311,407 "
M217,R217,"$20,180,155 ","$12,427,864 ","$32,608,019 ","$6,652,996 "
M218,R218,"$5,718,096 ","$4,665,428 ","$10,383,524 ","$3,035,618 "
M219,R219,"$43,035,725 ","$9,532,374 ","$52,568,099 ","$9,880,536 "
M220,R220,"$26,302,731 ","$17,960,682 ","$44,263,413 ","$8,317,545 "
M221,R221,"$538,460 ","$3,189,286 ","$3,727,746 ","$96,250 "
M222,R222,"$50,136 ","$3,273,995 ","$3,324,131 ","$28,688 "
M223,R223,"$7,857,741 ","$5,442,440 ","$13,300,181 ","$74,177 "
M224,R224,"$45,055,776 ","$46,846,662 ","$91,902,438 ","$295,009 "
M225,R225,"$2,394,725 ","$283,800 ","$2,678,525 ","$1,357,243 "
M226,R226,"$779,820 ","$142,907 ","$922,727 ","$11,842 "
M227,R227,"$20,777,061 ","$18,208,516 ","$38,985,577 ","$9,576,057 "
M228,R228,"$93,432,655 ","$68,689,987 ","$162,122,642 ","$34,703,397 "
M229,R229,"$20,706,452 ","$6,799,960 ","$27,506,412 ","$9,532,425 "
M230,R230,"$26,015,149 ","$49,620,898 ","$75,636,047 ","$388,769 "
M231,R231,"$328,828,874 ","$372,254,168 ","$701,083,042 ","$123,403,419 "
M232,R232,"$130,178,411 ","$119,913,199 ","$250,091,610 ","$44,213,073 "
M233,R233,"$38,322,743 ","$23,753,398 ","$62,076,141 ","$187,281 "
M234,R234,"$2,455,635 ","$4,337,133 ","$6,792,768 ","$1,158,017 "
M235,R235,"$7,002,261 ","$1,592,297 ","$8,594,558 ","$3,249,242 "
M236,R236,"$2,423,467 ","$1,080,294 ","$3,503,761 ","$1,402,822 "
M237,R237,"$36,108,758 ","$30,186,363 ","$66,295,121 ","$13,710,825 "
M238,R238,"$6,901,965 ","$318,525 ","$7,220,490 ","$2,702,430 "
M239,R239,"$2,022,115 ","$22,352,794 ","$24,374,909 ","$185,165 "
M240,R240,"$3,703,046 ","$11,851,809 ","$15,554,855 ","$1,841,007 "
M241,R241,"$29,747,603 ","$1,020,846 ","$30,768,449 ","$14,202,323 "
M242,R242,"$125,070,033 ","$113,454,523 ","$238,524,556 ","$35,028,301 "
M243,R243,"$24,139,805 ","$183,158,578 ","$207,298,383 ","$8,571,785 "
M244,R244,"$6,501,381 ","$1,758,372 ","$8,259,753 ","$2,798,229 "
M245,R245,"$174,532,921 ","$63,566,790 ","$238,099,711 ","$26,510,140 "
M246,R246,"$35,851,379 ","$63,773,494 ","$99,624,873 ","$10,352,512 "
M247,R247,"$51,342,000 ","$84,227,212 ","$135,569,212 ","$16,776,390 "
M248,R248,"$5,802,208 ","$144,039 ","$5,946,247 ","$1,514,278 "
M249,R249,"$3,020,665 ","$365,488 ","$3,386,153 ","$1,470,592 "
M250,R250,"$3,915,251 ","$3,383,535 ","$7,298,786 ","$2,012,709 "
M251,R251,"$185,576 ","$11,764 ","$197,340 ","$18,009 "
M252,R252,"$800,148 ","$670,942 ","$1,471,090 ","$67,599 "
M253,R253,"$27,778,642 ","$21,267,479 ","$49,046,121 ","$7,600,036 "
M254,R254,"$75,468,583 ","$107,946,600 ","$183,415,183 ","$21,384,504 "
M255,R255,"$12,545,979 ","$9,735,753 ","$22,281,732 ","$4,765,838 "
M256,R256,"$145,443,742 ","$381,926,973 ","$527,370,715 ","$45,402,195 "
M257,R257,"$6,809,080 ","$1,387,146 ","$8,196,226 ","$2,554,766 "
M258,R258,"$49,275,340 ","$44,136,086 ","$93,411,426 ","$10,845,330 "
M259,R259,"$2,184,640 ","$184,297 ","$2,368,937 ","$1,375,320 "
M260,R260,"$13,651,946 ","$23,114,347 ","$36,766,293 ","$5,002,341 "
M261,R261,"$27,367,660 ","$103,451,252 ","$130,818,912 ","$10,812,861 "
M262,R262,"$18,297,124 ","$59,662,250 ","$77,959,374 ","$8,070,493 "
M263,R263,"$14,394,097 ","$9,794 ","$14,403,891 ","$4,002,226 "
M264,R264,"$12,695,691 ","$25,665,737 ","$38,361,428 ","$5,842,609 "
M265,R265,"$99,215,042 ","$98,529,335 ","$197,744,377 ","$24,585,139 "
M266,R266,"$22,222 ","$25,711,603 ","$25,733,825 ","$22,222 "
M267,R267,"$28,370,522 ","$29,054,430 ","$57,424,952 ","$8,342,311 "
M268,R268,"$14,677,674 ","$21,638,056 ","$36,315,730 ","$118,298 "
M269,R269,"$4,712,792 ","$319,183 ","$5,031,975 ","$1,751,388 "
M270,R270,"$33,562,069 ","$43,741,545 ","$77,303,614 ","$12,103,043 "
M271,R271,"$41,260 ","$1,243 ","$42,503 ","$6,153 "
M272,R272,"$2,280,004 ","$3,186,694 ","$5,466,698 ","$1,512,824 "
M273,R273,"$21,218,403 ","$104,511,232 ","$125,729,635 ","$7,456,525 "
M274,R274,"$29,790,236 ","$21,830,357 ","$51,620,593 ","$10,411,189 "
M275,R275,"$9,196,278 ","$8,823,556 ","$18,019,834 ","$50,003 "
M276,R276,"$80,069,458 ","$78,842,110 ","$158,911,568 ","$23,618,556 "
M277,R277,"$31,090,320 ","$43,876,534 ","$74,966,854 ","$13,143,310 "
M278,R278,"$72,313,754 ","$90,184,584 ","$162,498,338 ","$15,371,203 "
M279,R279,"$89,217,875 ","$69,688,475 ","$158,906,350 ","$26,411,706 "
M280,R280,"$43,034,523 ","$43,199,980 ","$86,234,503 ","$14,685,305 "
M281,R281,"$30,718,107 ","$4,117,973 ","$34,836,080 ","$10,016,323 "
M282,R282,"$1,017,107 ","$93,404 ","$1,110,511 ","$26,820 "
