movie_id,movie_title,production_budget
M523,Rosewater,"$10,000,000 "
M524,The Imitation Game,"$15,000,000 "
M525,Foxcatcher,"$24,000,000 "
M526,The Hobbit: An Unexpected Journey,"$200,000,000 "
M527,Playing for Keeps,"$35,000,000 "
M528,Manglehorn,"$4,000,000 "
M529,Que Horas Ela Volta?,"$1,200,000 "
M530,Motherâ€™s Day,"$25,000,000 "
M531,The Meddler,"$3,200,000 "
M532,A Hologram for the King,"$35,000,000 "
M533,Truth or Dare,"$3,500,000 "
M534,Mommy,"$4,900,000 "
M535,Dumb and Dumber To,"$40,000,000 "
M536,The Theory of Everything,"$15,000,000 "
M537,Lone Survivor,"$40,000,000 "
M538,The Wolf of Wall Street,"$100,000,000 "
M539,August: Osage County,"$25,000,000 "
M540,Walking with Dinosaurs,"$80,000,000 "
M541,Grudge Match,"$40,000,000 "
M542,The Collection,"$10,000,000 "
M543,Insidious Chapter 3,"$10,000,000 "
M544,Entourage,"$30,000,000 "
M545,Captain America: Civil War,"$250,000,000 "
M546,Rampage,"$120,000,000 "
M547,Interstellar,"$165,000,000 "
M548,Nightcrawler,"$8,500,000 "
M549,Mr. Turner,"$14,000,000 "
M550,The Secret Life of Walter Mitty,"$91,000,000 "
M551,Anchorman 2: The Legend Continues,"$50,000,000 "
M552,The Hobbit: The Desolation of Smaug,"$250,000,000 "
M553,De rouille et dâ€™os,"$19,500,000 "
M554,Life of Pi,"$120,000,000 "
M555,Rise of the Guardians,"$145,000,000 "
M556,Silver Linings Playbook,"$21,000,000 "
M557,Red Dawn,"$65,000,000 "
M558,Le prÃ©nom,"$11,000,000 "
M559,San Andreas,"$110,000,000 "
M560,Aloha,"$37,000,000 "
M561,Ratchet and Clank,"$20,000,000 "
M562,Before I Go to Sleep,"$22,000,000 "
M563,Big Hero 6,"$165,000,000 "
M564,Ouija,"$5,000,000 "
M565,John Wick,"$30,000,000 "
M566,American Hustle,"$40,000,000 "
M567,The Last Days on Mars,"$10,600,000 "
M568,47 Ronin,"$175,000,000 "
M569,"The Twilight Saga: Breaking Dawn, Part 2","$136,200,000 "
M570,Jab Tak Hai Jaan,"$9,200,000 "
M571,Lincoln,"$65,000,000 "
M572,Dangerous Liaisons,"$24,200,000 "
M573,Deadfall,"$6,000,000 "
M574,Youth,"$13,000,000 "
M575,Green Room,"$5,000,000 "
M576,Barbershop: The Next Cut,"$20,000,000 "
M577,Lean on Pete,"$8,000,000 "
M578,A Quiet Place,"$17,000,000 "
M579,Rudderless,"$5,000,000 "
M580,Out of the Furnace,"$22,000,000 "
M581,Saving Mr. Banks,"$35,000,000 "
M582,Mandela: Long Walk to Freedom,"$35,000,000 "
M583,Homefront,"$22,000,000 "
M584,Black Nativity,"$17,500,000 "
M585,Frozen,"$150,000,000 "
M586,Vamps,"$16,000,000 "
M587,The Man with the Iron Fists,"$15,000,000 "
M588,Flight,"$31,000,000 "
M589,Spy!,"$65,000,000 "
M590,Tomorrowland,"$170,000,000 "
M591,Poltergeist,"$35,000,000 "
M592,Camp X-Ray,"$1,000,000 "
M593,The Book of Life,"$50,000,000 "
M594,Fury,"$80,000,000 "
M595,The Best of Me,"$26,000,000 "
M596,Birdman or,"$18,000,000 "
M597,Dear White People,"$1,250,000 "
M598,Whiplash,"$3,300,000 "
M599,St. Vincent,"$13,000,000 "
M600,Delivery Man,"$22,000,000 "
M601,Nebraska,"$12,000,000 "
M602,La grande bellezza,"$12,000,000 "
M603,The Hunger Games: Catching Fire,"$130,000,000 "
M604,Wreck-It Ralph,"$165,000,000 "
M605,Dom Hemingway,"$7,000,000 "
M606,Silent Hill: Revelation 3D,"$20,000,000 "
M607,Skyfall,"$200,000,000 "
M608,Fun Size,"$14,000,000 "
M609,Cloud Atlas,"$102,000,000 "
M610,The Invitation,"$1,000,000 "
M611,Meet the Mormons,"$2,000,000 "
M612,Kill the Messenger,"$5,000,000 "
M613,The Judge,"$50,000,000 "
M614,"Christian Mingle, The Movie","$650,000 "
M615,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$28,000,000 "
M616,Addicted,"$5,000,000 "
M617,The Christmas Candle,"$7,000,000 "
M618,The Best Man Holiday,"$17,000,000 "
M619,The Book Thief,"$19,000,000 "
M620,Chasing Mavericks,"$20,000,000 "
M621,The Sessions,"$1,000,000 "
M622,Mad Max: Fury Road,"$150,000,000 "
M623,The Jungle Book,"$175,000,000 "
M624,Hardcore Henry,"$2,000,000 "
M625,The Huntsman: Winterâ€™s War,"$115,000,000 "
M626,The Boss,"$29,000,000 "
M627,Blockers,"$21,000,000 "
M628,Acrimony,"$20,000,000 "
M629,Gifted,"$7,000,000 "
M630,The Fate of the Furious,"$250,000,000 "
M631,The Case for Christ,"$3,000,000 "
M632,Left Behind,"$16,000,000 "
M633,Gone Girl,"$61,000,000 "
M634,Annabelle,"$6,500,000 "
M635,"Men, Women and Children","$16,000,000 "
M636,Dracula Untold,"$70,000,000 "
M637,Two Night Stand,"$1,600,000 "
